dates,category,value,year,month,category2,heat
1960-07-01,humidity,97.7,1960,7,1994년_이전,정상
1960-07-02,humidity,86.3,1960,7,1994년_이전,정상
1960-07-03,humidity,98,1960,7,1994년_이전,정상
1960-07-04,humidity,93.7,1960,7,1994년_이전,정상
1960-07-05,humidity,86,1960,7,1994년_이전,정상
1960-07-06,humidity,83.7,1960,7,1994년_이전,정상
1960-07-07,humidity,97.3,1960,7,1994년_이전,정상
1960-07-08,humidity,83.7,1960,7,1994년_이전,정상
1960-07-09,humidity,77.3,1960,7,1994년_이전,정상
1960-07-10,humidity,78.3,1960,7,1994년_이전,정상
1960-07-11,humidity,84.7,1960,7,1994년_이전,정상
1960-07-12,humidity,85.3,1960,7,1994년_이전,정상
1960-07-13,humidity,84.3,1960,7,1994년_이전,정상
1960-07-14,humidity,92.7,1960,7,1994년_이전,정상
1960-07-15,humidity,85,1960,7,1994년_이전,정상
1960-07-16,humidity,77.7,1960,7,1994년_이전,정상
1960-07-17,humidity,78,1960,7,1994년_이전,정상
1960-07-18,humidity,76.3,1960,7,1994년_이전,정상
1960-07-19,humidity,80,1960,7,1994년_이전,정상
1960-07-20,humidity,73.7,1960,7,1994년_이전,정상
1960-07-21,humidity,75.7,1960,7,1994년_이전,정상
1960-07-22,humidity,75.3,1960,7,1994년_이전,정상
1960-07-23,humidity,76.7,1960,7,1994년_이전,정상
1960-07-24,humidity,83.7,1960,7,1994년_이전,정상
1960-07-25,humidity,91,1960,7,1994년_이전,정상
1960-07-26,humidity,86,1960,7,1994년_이전,정상
1960-07-27,humidity,71.3,1960,7,1994년_이전,정상
1960-07-28,humidity,69.3,1960,7,1994년_이전,정상
1960-07-29,humidity,79.7,1960,7,1994년_이전,정상
1960-07-30,humidity,87,1960,7,1994년_이전,정상
1960-07-31,humidity,84.3,1960,7,1994년_이전,정상
1960-08-01,humidity,82.7,1960,8,1994년_이전,정상
1960-08-02,humidity,85.3,1960,8,1994년_이전,정상
1960-08-03,humidity,78.7,1960,8,1994년_이전,정상
1960-08-04,humidity,81,1960,8,1994년_이전,정상
1960-08-05,humidity,76.3,1960,8,1994년_이전,정상
1960-08-06,humidity,75.7,1960,8,1994년_이전,정상
1960-08-07,humidity,72.3,1960,8,1994년_이전,정상
1960-08-08,humidity,72,1960,8,1994년_이전,정상
1960-08-09,humidity,70.7,1960,8,1994년_이전,정상
1960-08-10,humidity,69,1960,8,1994년_이전,정상
1960-08-11,humidity,66,1960,8,1994년_이전,정상
1960-08-12,humidity,67.3,1960,8,1994년_이전,정상
1960-08-13,humidity,64.7,1960,8,1994년_이전,정상
1960-08-14,humidity,58.7,1960,8,1994년_이전,정상
1960-08-15,humidity,63,1960,8,1994년_이전,정상
1960-08-16,humidity,78,1960,8,1994년_이전,정상
1960-08-17,humidity,72.7,1960,8,1994년_이전,정상
1960-08-18,humidity,77,1960,8,1994년_이전,정상
1960-08-19,humidity,68.3,1960,8,1994년_이전,정상
1960-08-20,humidity,59.7,1960,8,1994년_이전,정상
1960-08-21,humidity,60.7,1960,8,1994년_이전,정상
1960-08-22,humidity,71.7,1960,8,1994년_이전,정상
1960-08-23,humidity,79,1960,8,1994년_이전,정상
1960-08-24,humidity,75.7,1960,8,1994년_이전,정상
1960-08-25,humidity,76.7,1960,8,1994년_이전,정상
1960-08-26,humidity,68.3,1960,8,1994년_이전,정상
1960-08-27,humidity,69,1960,8,1994년_이전,정상
1960-08-28,humidity,80.3,1960,8,1994년_이전,정상
1960-08-29,humidity,87.3,1960,8,1994년_이전,정상
1960-08-30,humidity,83.3,1960,8,1994년_이전,정상
1960-08-31,humidity,80,1960,8,1994년_이전,정상
1961-07-01,humidity,80.8,1961,7,1994년_이전,정상
1961-07-02,humidity,92.5,1961,7,1994년_이전,정상
1961-07-03,humidity,97.5,1961,7,1994년_이전,정상
1961-07-04,humidity,89,1961,7,1994년_이전,정상
1961-07-05,humidity,85.3,1961,7,1994년_이전,정상
1961-07-06,humidity,96.8,1961,7,1994년_이전,정상
1961-07-07,humidity,96.8,1961,7,1994년_이전,정상
1961-07-08,humidity,97.8,1961,7,1994년_이전,정상
1961-07-09,humidity,89.3,1961,7,1994년_이전,정상
1961-07-10,humidity,86.8,1961,7,1994년_이전,정상
1961-07-11,humidity,86,1961,7,1994년_이전,정상
1961-07-12,humidity,95.8,1961,7,1994년_이전,정상
1961-07-13,humidity,86.5,1961,7,1994년_이전,정상
1961-07-14,humidity,94.5,1961,7,1994년_이전,정상
1961-07-15,humidity,90.8,1961,7,1994년_이전,정상
1961-07-16,humidity,85.5,1961,7,1994년_이전,정상
1961-07-17,humidity,82.8,1961,7,1994년_이전,정상
1961-07-18,humidity,79.8,1961,7,1994년_이전,정상
1961-07-19,humidity,77.8,1961,7,1994년_이전,정상
1961-07-20,humidity,76.3,1961,7,1994년_이전,정상
1961-07-21,humidity,84,1961,7,1994년_이전,정상
1961-07-22,humidity,79.3,1961,7,1994년_이전,정상
1961-07-23,humidity,76.5,1961,7,1994년_이전,정상
1961-07-24,humidity,82.8,1961,7,1994년_이전,정상
1961-07-25,humidity,82.5,1961,7,1994년_이전,정상
1961-07-26,humidity,81,1961,7,1994년_이전,정상
1961-07-27,humidity,82.8,1961,7,1994년_이전,정상
1961-07-28,humidity,92.8,1961,7,1994년_이전,정상
1961-07-29,humidity,83,1961,7,1994년_이전,정상
1961-07-30,humidity,76,1961,7,1994년_이전,정상
1961-07-31,humidity,72.8,1961,7,1994년_이전,정상
1961-08-01,humidity,65.3,1961,8,1994년_이전,정상
1961-08-02,humidity,64.3,1961,8,1994년_이전,정상
1961-08-03,humidity,67.8,1961,8,1994년_이전,정상
1961-08-04,humidity,86.8,1961,8,1994년_이전,정상
1961-08-05,humidity,82.5,1961,8,1994년_이전,정상
1961-08-06,humidity,82,1961,8,1994년_이전,정상
1961-08-07,humidity,78,1961,8,1994년_이전,정상
1961-08-08,humidity,85.8,1961,8,1994년_이전,정상
1961-08-09,humidity,75.5,1961,8,1994년_이전,정상
1961-08-10,humidity,82,1961,8,1994년_이전,정상
1961-08-11,humidity,85,1961,8,1994년_이전,정상
1961-08-12,humidity,93.5,1961,8,1994년_이전,정상
